Station Name,Accessibilité ,Adjacent building,Adjacent station,Adresse ,Architect,Architecte(s) ,Area,Artiste(s) ,Autocar liO ,Bus ,Bus Tisséo ,"Bus, Navette Tisséo ",Capital cost,Connecting line,Construction ,Coordonnéesgéographiques ,Date of official closure,Date of official opening,Different from,Elevation above sea level,Exploitant ,Has part(s),Has use,Heritage designation,Inception,Interchange station,Ligne(s) ,Linéo Tisséo ,Linéo TisséoNavette Tisséo ,Localisation,Located in or next to body of water,Located on street,Location,Mise en service ,Métro ,Named after,Navette Tisséo ,Nombre d'accès ,Operator,Owned by,Part of,Pays,Position parrapport au sol ,Pronunciation audio,Propriétaire ,Quais ,Quartier ,Quartier de Toulouse ,Replaces,Service entry,Significant event,Street address,Structure replaces,TAD Tisséo ,TER ,TER Occitanie ,Train ,Train urbain ,Trains ,Tramway ,Transit annuel ,Transport network,Téléphérique ,Ville,Visitors per year,Voies ,  ,  Train urbain ,​​​​​​​​​​​​​​​ ,​​​​​​​​​​​​​​​ BHNS ,​​​​​​​​​​​​​​​ Bus 
Pessac Centre (Bordeaux Tramway),,,"Station Camponac Médiathèque (Berges de la Garonne tram stop, Bordeaux Tramway Line B)",,,,,,,,,,,Bordeaux Tramway Line B,,,,,,,,,,,,Gare de Pessac,,,,"44° 48′ 15.45″ N, 0° 37′ 57.17″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Pin Galant (Bordeaux Tramway),,,"Hotel de Ville Mérignac tram stop (Le Haillan Rostand tram stop, Bordeaux Tramway Line A)Mérignac Centre tram stop (La Gardette - Bassens - Carbon-Blanc tram stop, Floirac Dravemont tram stop, Bordeaux Tramway Line A)",,,,,,,,,,,Bordeaux Tramway Line A,,,,,,,,,,,,,,,,"44° 50′ 39.11″ N, 0° 39′ 04.75″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Place de la Bourse (Bordeaux Tramway),,,"Quinconces tram stop (Gare de Blanquefort tram stop, Parc des Expositions tram stop, Bordeaux Tramway Line C)Porte de Bourgogne tram stop (Villenave Pyrénées tram stop, Bordeaux Tramway Line C)Quinconces tram stop (Cantinolle tram stop, Bordeaux Tramway Line D)Porte de Bourgogne tram stop (Carle Vernet tram stop, Bordeaux Tramway Line D)",,,,,,,,,,,Bordeaux Tramway Line CBordeaux Tramway Line D,,,,,,,,,,,,,,,,"44° 50′ 29.7″ N, 0° 34′ 10.76″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Place Paul Doumer (Bordeaux Tramway),,,"Camille Godard tram stop (Parc des Expositions tram stop, Gare de Blanquefort tram stop, Bordeaux Tramway Line C)Jardin Public tram stop (Villenave Pyrénées tram stop, Bordeaux Tramway Line C)",,,,,,,,,,,Bordeaux Tramway Line C,,,,,,,,,,,,,,,,"44° 51′ 07.08″ N, 0° 34′ 26.73″ W",,,"Bordeaux, Bordeaux Métropole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Porte de Bourgogne (Bordeaux Tramway),,,"Place du Palais tram stop (Le Haillan Rostand tram stop, Bordeaux Tramway Line A)Stalingrad tram stop (La Gardette - Bassens - Carbon-Blanc tram stop, Floirac Dravemont tram stop, Bordeaux Tramway Line A)Place de la Bourse tram stop (Parc des Expositions tram stop, Gare de Blanquefort tram stop, Bordeaux Tramway Line C)Saint-Michel tram stop (Villenave Pyrénées tram stop, Bordeaux Tramway Line C)Place de la Bourse tram stop (Cantinolle tram stop, Bordeaux Tramway Line D)Saint-Michel tram stop (Carle Vernet tram stop, Bordeaux Tramway Line D)",,,,,,,,,,,Bordeaux Tramway Line CBordeaux Tramway Line ABordeaux Tramway Line D,,,,,,,,,,,,,,,,"44° 50′ 14.09″ N, 0° 33′ 58.64″ W",,,"Bordeaux, Bordeaux Métropole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Quinconces (Bordeaux Tramway),,,"CAPC Musée d'Art Contemporain tram stop (Berges de la Garonne tram stop, Bordeaux Tramway Line B)Grand Théâtre tram stop (Pessac Centre tram stop, France Alouette tram stop, Bordeaux Tramway Line B)Jardin Public tram stop (Parc des Expositions tram stop, Gare de Blanquefort tram stop, Bordeaux Tramway Line C)Place de la Bourse tram stop (Villenave Pyrénées tram stop, Bordeaux Tramway Line C)Fondaudège - Muséum tram stop (Cantinolle tram stop, Bordeaux Tramway Line D)Place de la Bourse tram stop (Carle Vernet tram stop, Bordeaux Tramway Line D)",,,,,,,,,,,Bordeaux Tramway Line BBordeaux Tramway Line CBordeaux Tramway Line D,,,,,,,,,,,,,,,,"44° 50′ 40.09″ N, 0° 34′ 25.65″ W",,place des Quinconces,"Bordeaux, Bordeaux Métropole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Roustaing (Bordeaux Tramway),,,"Forum tram stop (Pessac Centre tram stop, France Alouette tram stop, Bordeaux Tramway Line B)Barrière Saint-Genès tram stop (Berges de la Garonne tram stop, Bordeaux Tramway Line B)",,,,,,,,,,,Bordeaux Tramway Line B,,,,,,,,,,,,,,,,"44° 49′ 00.99″ N, 0° 35′ 08.3″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Saint-Michel (Bordeaux Tramway),,,"Porte de Bourgogne tram stop (Gare de Blanquefort tram stop, Parc des Expositions tram stop, Bordeaux Tramway Line C)Sainte-Croix tram stop (Villenave Pyrénées tram stop, Bordeaux Tramway Line C)Porte de Bourgogne tram stop (Cantinolle tram stop, Bordeaux Tramway Line D)Sainte-Croix tram stop (Carle Vernet tram stop, Bordeaux Tramway Line D)",,,,,,,,,,,Bordeaux Tramway Line CBordeaux Tramway Line D,,,,,,,,,,,,,,,,"44° 50′ 04.18″ N, 0° 33′ 48.16″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Rue Achard (Bordeaux Tramway),,,"La Cité du Vin tram stop (France Alouette tram stop, Pessac Centre tram stop, Bordeaux Tramway Line B)New York tram stop (Berges de la Garonne tram stop, Bordeaux Tramway Line B)",,,,,,,,,,,Bordeaux Tramway Line B,,,,,,,,,,,,,,,,"44° 51′ 59.99″ N, 0° 32′ 55.16″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Saint-Nicolas (Bordeaux Tramway),,,"Bergonié tram stop (Pessac Centre tram stop, France Alouette tram stop, Bordeaux Tramway Line B)Victoire tram stop (Berges de la Garonne tram stop, Bordeaux Tramway Line B)",,,,,,,,,,,Bordeaux Tramway Line B,,,,,,,,,,,,,,,,"44° 49′ 44.36″ N, 0° 34′ 26.25″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
